,AS OF MARCH 2025,,,,,,,,,,,,,,,,,,,
Item No.,Accession No. old,Author,Title,Subtitle,Edition,Publication,Place of Publication,Page,Dimension,Subject,Added Entry Author,Call No.,Copyright date,Remarks,ISBN,No. of Copies,MB Bar code no.,Donated by,Location,Status
125,1339,Edward Smith,Atkinson & Hilgards Introduction to Philosophy,,14th,Thomson Learning Asia,United States of America,677,25 cm,Psychology,"Susan Nolen-Hoeksema, Barbara Fredrickson, Geoffrey R. Loftus",CIR BF 121 I58 2003 c.2,2003,,981-243-773-8,,MAR-D-CIR-000021,,CIRCULATION,ON-SHELF
126,1337,Edward Smith,Atkinson & Hilgards Introduction to Philosophy,,14th,Thomson Learning Asia,United States of America,677,25 cm,Psychology,"Susan Nolen-Hoeksema, Barbara Fredrickson, Geoffrey R. Loftus",CIR BF 121 I58 2003 c.3,2003,,981-243-773-8,,MAR-D-CIR-000022,,CIRCULATION,ON-SHELF
71,57,James W. Kalat,Introduction to Psychology,,6th,New Leaf Publishing Services,United States of America,656,28 cm,Psychology,,CIR BF 121 K26 2001,2001,,0-534-53988-2,,MAR-D-CIR-000023,,CIRCULATION,ON-SHELF
101,,Charles G Morris,Understanding Psychology,,10th,Pearson Education Inc.,United States of America,507,27 cm,Psychology,Albert A. Maisto,CIR BF 121 M598 2013,2013,,10:0-205-84596-7,,MAR-D-CIR-000024,,CIRCULATION,ON-SHELF
62,,Camille Wortman,Psychology,,2nd,Borzoi Publishing Book,United States of America,632,26 cm,Psychology,Elizabeth Loftus & Mary E. Marshall,CIR BF 121 W67 1985 c.1,1985,,0-394-33189-3,c.1,MAR-D-CIR-000025,,CIRCULATION,ON-SHELF
72,,Camille Wortman,Psychology,,2nd,"Alfred A. Knofh,Inc.",United States of America,612,25 cm,Psychology,Elizabeth Loftus,CIR BF 121 W67 1985 c.2,1985,,0-394-33189-3,c.2,MAR-D-CIR-000026,,CIRCULATION,ON-SHELF
70,,By CRM Books,Readings in Psychology Today,,2nd,"Communications Research Machines,Inc.",United States of America,700,28 cm,Psychology,,CIR BF 149 R43 1972,1972,,87665-134-1,,MAR-D-CIR-000027,,CIRCULATION,ON-SHELF
47,5,Edited by Michael I.Posner,Foundations of Cognitive Science,,6th,The MIT Press,United States of America,888,25 cm,Cognitive Science,,CIR BF 311 F66 1989,1989,,0-262-16122-5,,MAR-D-CIR-000028,,CIRCULATION,ON-SHELF
65,59,Anne Anastasi,Psychological Testing,,6th,Macmillan Publishing Company,New York,816,24 cm,Psychology,,CIR BF 431 A53 1988,1988,,0-02-303020-8,,MAR-D-CIR-000029,,CIRCULATION,ON-SHELF
705,,Carole Hyatt,When Smart People Fail,Rebuilding Yourself for Success,,Penguin Books,United States of America,240,21cm,1. Failure (Psychology) 2. Sucess 3. Attitude (Psychology),Linda Gottlieb,MAR BF 575 C37,1987,,0-14-010727-4,1,MAR-D-CIR-000030,,Circulation,On-Shelf
95,63,Gerald Corey,Theory and Practice of Counseling and Psychotherapy,,7th,An International Thomson Publishing Company,California,528,24 cm,Psychology,,CIR BF 637 C67 1996,1996,ITO,0-534-33856-9,,MAR-D-CIR-000031,,CIRCULATION,ON-SHELF
96,63,Gerald Corey,Theory and Practice of Counseling and Psychotherapy,,7th,An International Thomson Publishing Company,California,528,24 cm,Psychology,,CIR BF 637 C67 2005,2005,,0-534-33856-9,,MAR-D-CIR-000032,,CIRCULATION,ON-SHELF
35,8,Adam Grant,Give and Take,A Revolutionary Approach to Success,,,United States of America,294,23 cm,Give and Take,,CIR BF 637 G73 2013,2013,,,,MAR-D-CIR-000033,,CIRCULATION,ON-SHELF
,,Heather Havrilesky,Disaster Preparedness,A Memoir,,Riverhead Books Inc.,United States of America,239,22cm,1. Pessimism 2. Emergency Management,,MAR BF 698.35 H38 2010,2010,,978-1-59448-768-2,,MAR-D-CIR-000034,,CIRCULATION,ON-SHELF
111,,Elizabeth B. Hurlock,Developmental Psychology,A Life Span Approach,5th,McGraw-Hill Book Company,"Navotas, Metro Manila",477,26 cm,Psychology,,CIR BF 713 H87 1980,1980,,971-08-2954-8,,MAR-D-CIR-000035,,CIRCULATION,ON-SHELF
66,71,Max H. Bazerman & Margaret A. Neale,Negotiating Rationally,,,The Free Press,United States of America,196,24 cm,Negotiation,,CIR BF 6374 B39 1992,1992,,0-02-901986-9,,MAR-D-CIR-000036,,CIRCULATION,ON-SHELF
112,,Shad Helmstetter,Network of Champions,What's Right About America--And how to be part of it?,,"Chapel and Croft Publishing, Inc.",United States of America,220,23 cm,Americans,,CIR BF 6975 S53 1995,1995,,0-9645171-2-4,,MAR-D-CIR-000037,,CIRCULATION,ON-SHELF
88,,William Barclay,Ethics in a Permissive Society,"From the television Series of Baird Lectures,""Jesus Today""",,William Collins Sons & Co Ltd.,Great Britain,222,18 cm,Ethics,,CIR BJ 1251 W55 1971,1971,,0-00-622754-6,,MAR-D-CIR-000038,,CIRCULATION,ON-SHELF
34,39,Jack Canfield,A Second Chicken Soup For the Woman's Soul,101 More Stories to Open the Hearts and Rekindle the Spirits of Woman,,"Health Communication, Inc.",United States of America,407,22 cm,Woman-Conduct of Life,"Mark Victor Hansen, Jennifer Read Hawthorne, Marci Shimoff",CIR BJ 1610 S37 1998,1998,,1-55874-621-8,,MAR-D-CIR-000039,,CIRCULATION,ON-SHELF
584,,Sean Covey,The 7 Habits of Highly Effective Teens,The Ultimate Teenage Success Guide,,Simon and Schuster Inc.,United States of America,268,24cm,Business and Self-help,,MAR BJ 1661 1998,1998,,0-684-85609-3,,MAR-D-CIR-000040,,Circulation,On-Shelf
108,1320,Sidney N. Bremer,Successful Achievement,,4th,Success Unlimited Enterprise,"Quezon City,Philippines",1399,24 cm,Successful Achievement,,CIR BJ 16112 B74 1966 c.1,1966,,,c.1,MAR-D-CIR-000041,,CIRCULATION,ON-SHELF
109,1318,Sidney N. Bremer,Successful Achievement,,3rd,Success Unlimited Enterprise,"Quezon City,Philippines",1051,24 cm,Successful Achievement,,CIR BJ 16112 B74 1966 c.2,1966,,,c.2,MAR-D-CIR-000042,,CIRCULATION,ON-SHELF
110,1319,Sidney N. Bremer,Successful Achievement,,2nd,Success Unlimited Enterprise,"Quezon City,Philippines",689,24 cm,Successful Achievement,,CIR BJ 16112 B74 1966 c.3,1966,,,c.3,MAR-D-CIR-000043,,CIRCULATION,ON-SHELF
86,,Eckhart Tolle,A New Heart,Awakening to Your Life's Purpose,,Plume Book (Penguin Group),United States of America,316,21 cm,Spiritual Life,,CIR BL 624 T635 2005,2005,,978-0-452-28996-3,,MAR-D-CIR-000044,,CIRCULATION,ON-SHELF
55,10,Huston Smith,The Illustrated World's Religion,A Guide to our Wisdom Traditions,1st,Labyrinth Publishing,United Kingdom,255,28 cm,Religions,,CIR BL 802 S645 1994,1994,,0-06-067453-9,,MAR-D-CIR-000045,,CIRCULATION,ON-SHELF
136,418,Bassam Tibi,Islam and the CulturalAccomodation of Social Change,,2nd,Westview Press,United States of America,272,23 cm,Islam,Clare Krojzl,CIR BP 17325 B37 1990,1990,,0-8133-0917-4,,MAR-D-CIR-000046,,CIRCULATION,On-Shelf
,,Sylvia Boorstein,It's Easier Than You Think,The Buddhist Way to Happiness,,Harper Collins Publisher,United States of America,145,21cm,"1. Religious Life-Buddhism, 2. Buddhism-Doctrines",,MAR BQ 4302 B66 1995,1995,,0-06-251294-3,,MAR-D-CIR-000047,,CIRCULATION,ON-SHELF
93,29,Robert McAfee Brown,Speaking of Christianity,"Practical Compassion,Social Justice, and Other Words",1st,Westminster John Knox Press,United States of America,161,23 cm,Christianity,,CIR BR 1212 B76 1997,1997,,0-664-25742-9,,MAR-D-CIR-000048,,CIRCULATION,ON-SHELF
,,Randy Frazee,Believe,Living the Story of the Bible to become like Jesus,,ZONDERVAN,United States of America,507,23cm,1. Bible-Criticism 2. Christian Life,,MAR BS 511 Z66 2014,2014,,978-0-310-43358-3,,MAR-D-CIR-000049,,CIRCULATION,ON-SHELF
54,1330,James Harpur,Abraham and His Sons,,,"The Reader's Digest Association,Inc.",Italy,90,26 cm,Religions,Rabbi Jonathan Romain,CIR BS 580 H37 1997,1997,,0-89577-959-5,,MAR-D-CIR-000050,,CIRCULATION,ON-SHELF
92,,Scott M. Huse,The Collapse of Evolution,,8th,Baker Book House,United States of America,172,20 cm,Evolution,Janice Northcutt Huse,CIR BS 659 S36 1998,1998,,0-8010-4310-7,,MAR-D-CIR-000051,,CIRCULATION,ON-SHELF
97,1329,Markus Braybrooke,Bible Wisdom for Today TheWisdom of Jesus,,,"The Reader's Digest Association,Inc.",Italy,95,26 cm,Religions,,CIR BS 2415 B69 1997,1997,,0-89577-908-0,,MAR-D-CIR-000052,,CIRCULATION,ON-SHELF
602,,"James Martin, SJ",Come Forth,The Promises of Jesus's Greatest Miracle,,HarperCollins Publisher,United States of America,369,25cm,Religion,,MAR CIR BS 2415 M363 2023,2023,for printing of call no.,978-0-06-269438-6,,MAR-D-CIR-000053,,Circulation,On-Shelf
64,1331,James Harpur,Bible Wisdom for Today The Journeys of St.Paul,,,Marshall Editions Development Limited,London,95,25 cm,Religions,Rev. Markus Braybrooke,CIR BS 2506 H37 1997,1997,,0-89577-958-7,,MAR-D-CIR-000054,,CIRCULATION,ON-SHELF
68,,Hal Lindsey,The Late Great Planet Earth,,,Zondervan Publishing House,United States of America,180,18 cm,Earth,C.C. Carlson,CIR BS 6472 L56 1977,1977,,,,MAR-D-CIR-000055,,CIRCULATION,ON-SHELF
32,,Living Stream Ministry,The Gospel of John,,1st,Living Stream Ministry,United States of America,110,17 cm,Gospel,,CIR BS 26153 L44 1985,1985,,0-7363-2225-6,,MAR-D-CIR-000056,,CIRCULATION,ON-SHELF
116,,Alvin C. Porteous,Propetic Voices in Contemporary Theology,,,Abingdon Press,United States of America,224,20 cm,Propetic Voice,"Karl Barth, rudomann, paul tillich, reinhold niebuhr, dierich bonhoefferlf bult",CIR BT 28 P67 1966,1966,,,,MAR-D-CIR-000057,,CIRCULATION,ON-SHELF
84,,Edited by Deane William Ferm,Contemporary American Theologies II,A Book of Readings,,The Seabury Press,New York,193,21 cm,Americans,,CIR BT 80 F47 1982,1982,,0-8164-2407-1,,MAR-D-CIR-000058,,CIRCULATION,ON-SHELF
53,1328,James Harpur,The Miracles of Jesus,,,"The Reader's Digest Association,Inc.",Italy,95,25 cm,Jesus' Miracles,Rev. Marcus Braybrooke,CIR BT 366 H37 1997,1997,,0-89577-907-2,,MAR-D-CIR-000059,,CIRCULATION,ON-SHELF
118,,Joyce Landorf,Mourning Song,,,Fleming H. Revell Company,United States of America,184,21 cm,Death,,CIR BT 825 L35 1974,1974,,0-8007-0680-3,,MAR-D-CIR-000060,,CIRCULATION,ON-SHELF
37,,Charles R. Swindoll,Improving Your Serve,The Art of Unselfish Living Bible Study Guide,,Zondervan Bible Publishers,United States of America,157,22 cm,Missionary,,CIR BT 7384 S95 1981,1981,,0-8499-8445-9,,MAR-D-CIR-000061,,CIRCULATION,ON-SHELF
36,,Marrti Hefley,Assignment in the Philippines,Dramatic Accounts From Jared & Marilee Barker,,The Moody Bible Institute of Chicago,United States of America,158,21 cm,Missionary,Jared Barker & Marilee Barker,CIR BV 338.2 H44 1984,1984,,0-8024-0265-8,,MAR-D-CIR-000062,,CIRCULATION,ON-SHELF
117,,by Fodors,Argentina,With Wine Country and Chilean Patagonia,4th,"Random House,Inc.",United States of America,406,20 cm,Argentina,,CIR BV 538 A74 2006,2006,,1-4000-1665-7,,MAR-D-CIR-000063,,CIRCULATION,ON-SHELF
115,,Lawrence O. Richards,A Theology of Christian Education,,,The Zondervan Publishing House,"Grand Rapids,Michigan",336,24 cm,Religions,,CIR BV 1464 R53 1975,1975,,0-310-31940-4,,MAR-D-CIR-000064,,CIRCULATION,ON-SHELF
33,46,Maura Poston Zargans,"Camerado, I Give You My Hand",How a powerful Lawyer-turned-Priest is changing the lives of Man Behind Bars,1st,"Random House, Inc.",United States of America,272,22 cm,Changing lives,,CIR BV 4340 Z34 2013,2013,,978-0-385-34800-3,,MAR-D-CIR-000065,,CIRCULATION,ON-SHELF
,,AL & Alice Gray,Stories for A Man's Heart,Over 100 stories to motivate his soul,,Multnomah Publishers Inc.,United States of America,294,22cm,1. Christian Men-Religious Life-Anecdotes 2. Christian Men-Conduct of Life-Anecdotes,,MAR BV 4528 G73 1999,1999,,1-57673-479-X,,MAR-D-CIR-000066,,CIRCULATION,ON-SHELF
,,Lloyd J. Ogilvie,Life Without Limits,The Message of Mark's Gospel,,Word Books Publisher,"Waco, Texas",290,22cm,Mark's Gospel,,MAR BV 4598.3 L46 1975,1975,,0-8499-2891-3,,MAR-D-CIR-000067,,CIRCULATION,ON-SHELF
138,,Robert H. Schuller,Self Esteem The New Reformation,,,Word Books Publisher,United States of America,177,22 cm,Self Love,,CIR BV 4639 S38 1982,1982,,0-8499-0299-1,,MAR-D-CIR-000068,,CIRCULATION,On-SHELF
,,Robert J. Morgan,From this Verse,365 Inspiring Stories About the Power of God's Word,,"Thomas Nelson, Inc.","Nashville, Tennessee",Dec-31,19cm,Bible Verses,,MAR BV 4811 M67 1998,1998,,971-717354-8,,MAR-D-CIR-000069,,CIRCULATION,ON-SHELF
137,,Rick Warren,The Purpose Driven Life,What on Earth Am I Here For?,10th,"Zondervan,Grand Rapids",Michigan,334,23 cm,Christian Life,,CIR BV 45013 W37 2002,2002,,0-310-27699-3,,MAR-D-CIR-000070,,CIRCULATION,On-Shelf
307,,B.G Grobbelaar,Philosophy,,1st,Antony Rowe Ltd,United States of America,210,21 cm,Philosophy,,CIR BV 85821 B73 1999,1999,,1-85821-612-5,,MAR-D-CIR-000071,,CIRCULATION,ON-SHELF
619,,Gordon Thomas,The Pope's Jews,The Vatican's Secrete Plan to Save Jews from the Nazis,,Thomas Dunne Books,"New York, USA",314,25cm,Religion and History,,MAR CIR BX1378 T54 2012,2012,,978-0-312-60421-9,,MAR-D-CIR-000072,,Circulation,On-Shelf
67,,Prepared by Church Educational System,Church History in the Fulness of Times,,,Intellectual Reserved Inc.,United States of America,643,28 cm,Religions,,CIR BX 8611 C48 1989,1992,,,,MAR-D-CIR-000073,,CIRCULATION,ON-SHELF
107,,Donald Kagan,The Western Heritage,,6th,A Viacom Company,United States of America,719,25 cm,Western Heritage,Steven Ozment & Frank Turner,CIR CB 245 K34 1988,1988,,0-13-617363-7,,MAR-D-CIR-000074,,CIRCULATION,ON-SHELF
49,,Richard G. Boehm,World Cultures and Geography,,,McGraw Hill Education,United States of America,998,28 cm,World Culture & Geography,,CIR D 21 R53 2016,2016,,978-0-02-137539-4,,MAR-D-CIR-000075,,CIRCULATION,ON-SHELF
50,40,Paul Thomas Welty & Miriam Greenblatt,The Human Expression,World Regions and Cultures,4th,Glencoe McGraw Hill,United States of America,912,23 cm,World Regions & Cultures,,CIR D 21 W45 1992,1992,,0-02-654000-2,,MAR-D-CIR-000076,Asia Foundation,CIRCULATION,ON-SHELF
56,53,"Edwin Keister, Jr.",Before they Changed the World,Pivotal Moments that shaped the lives of Great Leaders,,Fair Winds Press,United States of America,288,24 cm,World History,,CIR D 107 K53 2009,2009,,978-1-59233-365-3,,MAR-D-CIR-000077,,CIRCULATION,ON-SHELF
48,9,James Reston,National Geographic Eyewitness to History,From Ancient Times to Modern Era,,National Geographic Society,Hong Kong,463,28 cm,History,"Stephen G. Hyslop, Bob Somerville, and John Thompson",CIR D 213 R47 2010,2010,,978-1-4351-4807-9,,MAR-D-CIR-000078,,CIRCULATION,ON-SHELF
74,402,John F. H. New,The Reinassance and Reformation,A Short History,2nd,McGraw Hill Inc.,United States of America,201,21 cm,Reinassance & Reformation,,CIR D 228 N43 1977 c.1,1977,,0-07-554681-7,c.1,MAR-D-CIR-000079,,CIRCULATION,ON-SHELF
76,405,John F. H. New,The Reinassance and Reformation,A Short History,2nd,McGraw Hill Inc.,United States of America,201,21 cm,Reinassance & Reformation,,CIR D 228 N43 1977 c.2,1977,,0-07-554681-7,c.2,MAR-D-CIR-000080,,CIRCULATION,ON-SHELF
77,403,John F. H. New,The Reinassance and Reformation,A Short History,2nd,McGraw Hill Inc.,United States of America,201,21 cm,Reinassance & Reformation,,CIR D 228 N43 1977 c.3,1977,,0-07-554681-7,c.3,MAR-D-CIR-000081,,CIRCULATION,ON-SHELF
119,404,John F. H. New,The Reinassance and Reformation,A Short History,2nd,McGraw Hill Inc.,United States of America,201,21 cm,Reinassance & Reformation,,CIR D 228 N43 1977 c.4,1977,,0-07-554681-7,c.4,MAR-D-CIR-000082,,CIRCULATION,ON-SHELF
123,32,Carlton J.H Reyes,Modern Times,The French Revolution to thePresent,,Glencoe McGraw Hill,United States of America,568,23 cm,Modern Times,,CIR D 299 H39 1983,1983,,0-02-185600-1,,MAR-D-CIR-000083,,CIRCULATION,ON-SHELF
122,,Cyril E. BlacK,Rebirth,A History of Europe Since World War II,,Westview Press,United States of America,565,24 cm,Rebirth of Europe since WW2,"Jonathan E. Helmreich, Paul C. Helmreich, Charles P. Issawi, A. James McAdam",CIR D 1051 B43 1992,1992,,0-8133-1365-1,,MAR-D-CIR-000084,Asia Foundation,CIRCULATION,ON-SHELF
114,72593,H.W. Arndt,Asian Diaries,,,Chopmen Publishers,United States of America,251,21 CM,Asian Diaries,,CIR DS 10 H93 1987,1987,,9971-68-125-0,,MAR-D-CIR-000085,,CIRCULATION,ON-SHELF
40,,Alan M.Dershowitz,The Case for Israel,,7th,"John Wiley & Sons, Inc.",United States of America,264,23 cm,Jews-Palestine History,,CIR DS 125 D47 2003,2003,,0-471-46502-X,,MAR-D-CIR-000086,,CIRCULATION,ON-SHELF
51,,By Wang Jian & Fang Xiaoyan,An Illustrated Brief History China,Culture-Religion-Art-Invention,,Better Link Press,China,128,26 cm,China,,CIR DS 735 J53 2017,2017,,978-1-60220-156-9,,MAR-D-CIR-000087,,CIRCULATION,ON-SHELF
73,412,Edited by Samuel S. Kim,China and the World,New Directions in Chinese Foreign Relations,2nd,Westview Press,United States of America,339,23 cm,China and the World,,CIR DS 779.27 C4873 1989,1989,,0-8133-0618-3,,MAR-D-CIR-000088,,CIRCULATION,ON-SHELF
91,,Ardath W. Burks,Japan A Postindustrial Power,,3rd,Westview Press,United States of America,234,23 cm,Japan History,,CIR DS 806 B87 1991,1991,,0-8133-0989-1,,MAR-D-CIR-000089,Asia Foundation,CIRCULATION,ON-SHELF
113,,James Follows,Blind Into Baghdad,America's War in Iraq,1st,A Division of Random House Inc.,United States of America,229,20 cm,Iraq War,,CIR DS 7976 F3487 2006,2006,,0-307-27796-8,,MAR-D-CIR-000090,,CIRCULATION,ON-SHELF
43,,Roger Rosenblatt,Where We Stand,30 Reasons for Loving Our Country,,"Harcourt, Inc.",United States of America,194,21cm,Societal Issues,,MAR CIR E 169.1 R777 556 2002,2002,,978-0-312-60421-9,,MAR-D-CIR-000091,,CIRCULATION,ON-SHELF
591,,Dave Issay,Listening Is An Act of love,A Celebration of American Life from the Storycorps Project,,The Penguin Press,"New York, USA",281,23cm,United States - Social Life and Customs,,MAR CIR E 184 .A1 Is18 2007,2007,,978-1-59420-140-0,,MAR-D-CIR-000092,,CIRCULATION,ON-SHELF
,,Joseph F. Healey,"Race, Ethnicity, Gender, and Class",The Sociology of Group Conflict and Change,,Pine Forge Press,"Thousand Oaks, California",558,24cm,,,MAR E 184 H43 1995,1995,,0-8039-9027-8,,MAR-D-CIR-000093,,CIRCULATION,ON-SHELF
571,,James P. Duffy,Lindbergh versus Roosevelt,The Rivalry that Divided America,,Regnery Publishing Inc.,"One Massachusetts Avenue, NW Washington, DC 20001",257,25cm,Politics and Government,,MAR E 807 D86 D874 2010,2010,,978-1-59698-601-5,,MAR-D-CIR-000094,,CIRCULATION,ON-SHELF
582,,Richard A. Clarke,Against All Enemies,Inside America's War on Terror,,Free Press,"1230 Avenue of the Americas New York, NY 10020",304,25cm,Politics and Government,,MAR CIR E885 .C53 2004,2004,,0-7432-6024-4,,MAR-D-CIR-000095,,CIRCULATION,ON-SHELF
39,27,John W. Dean,Worse than Watergate,The secret Presidency of George W. Bush,,Little Brown Company,United States of America,253,21 cm,Worse than watergate,,CIR E 902 D43 2004,2004,,0-316-00023-X,,MAR-D-CIR-000096,,CIRCULATION,ON-SHELF
120,,Robert M. Crunden,A Brief History of American Culture,,,Paragon House Publisher,United States of America,363,23 cm,History of American Culture,,CIR E 1691 C78 1994,1994,,1-56324-865-4,,MAR-D-CIR-000097,,CIRCULATION,ON-SHELF
140,414,Edited by Andrei G. Bochkarev,The United States and the USSR in a changing world,Soviet and American Perspectives,,Westview Press,United States of America,412,23 cm,United States,Don L. Mansfield,CIR E 1838 B63 1992,1992,,0-8133-8381-1,,MAR-D-CIR-000098,Asia Foundation,CIRCULATION,On-Shelf
139,,By Gore Vidal,Lincoln,Selected Speeches and Writing,,Vintage Books,United States of America,515,20 cm,Abraham Lincoln,,CIR E 45992 L56 1992,1992,,0-679-73731-6,,MAR-D-CIR-000099,,CIRCULATION,On-Shelf
,,Joseph W. Yoder,Rossana of the Amish,The touching true story of an Irish orphan who became part of the unusual world of the Amish.,,"Herald Press Book/ Jove Publications, Inc.",United States of America,251,18cm,Irish Orphan,,MAR F 160 Y63 1973,1973,,0-8361-1714-X,,MAR-D-CIR-000100,,CIRCULATION,ON-SHELF
106,,John A. Munroe,History of Delaware,,5th,Associated University Press,United States of America,304,24 cm,History,,CIR F 164 M83 2001,2001,,0-87413-947-3,,MAR-D-CIR-000101,,CIRCULATION,ON-SHELF
23,2015-12532,Roy A. Cook,Tourism,Cook,4th,Pearson Education Inc.,United States of America,414,27 cm,Tourism,"Laura J. Yale,Joseph Marqua",CIR G155 C66 2010 c.1,2010,,978-981-0695-89-7,c.1,MAR-D-CIR-000102,,CIRCULATION,ON-SHELF
24,2015-12533,Roy A. Cook,Tourism,Cook,4th,Pearson Education Inc.,United States of America,414,27 cm,Tourism,"Laura J. Yale,Joseph Marqua",CIR G155 C66 2010 c.2,2010,,978-981-0695-89-7,c.2,MAR-D-CIR-000103,,CIRCULATION,ON-SHELF
25,2015-12543,Roy A. Cook,Tourism,Cook,4th,Pearson Education Inc.,United States of America,414,27 cm,Tourism,"Laura J. Yale,Joseph Marqua",CIR G155 C66 2010 c.3,2010,,978-981-0695-89-7,c.3,MAR-D-CIR-000104,,CIRCULATION,ON-SHELF
